R, G, B, Xdim, Ydim, Zdim, Xpos, Ypos, Zpos
1.0, 1.0, 1.0, 1.4, 0.01, 1.0, 0.5, -0.25, 0.5
0.0, 0.0, 0.0, 0.4, 0.4, 0.01, 0.0, 0.0, -0.006
1.0, 1.0, 1.0, 0.01, 0.9, 1.0, -0.2, 0.25, 0.5
0.2, 0.2, 0.2, 1.4, 0.9, 0.01, 0.5, 0.25, -0.016
1.0, 0.0, 0.0, 0.505, 0.4, 0.01, 0.1, 0.5, 0.0
1.0, 0.0, 0.0, 0.5, 0.01, 0.2, 0.1, 0.305, 0.1
1.0, 0.0, 0.0, 0.5, 0.01, 0.2, 0.1, 0.695, 0.1
1.0, 0.0, 0.0, 0.01, 0.4, 0.2, 0.35, 0.5, 0.1
1.0, 0.0, 0.0, 0.01, 0.4, 0.2, -0.15, 0.5, 0.1
0.0, 0.0, 1.0, 0.01, 0.1, 1.0, 0.5, -0.15, 0.5
0.0, 0.0, 1.0, 0.01, 0.1, 1.0, 0.5, 0.15, 0.5
0.0, 0.0, 1.0, 0.01, 0.1, 1.0, 0.5, 0.45, 0.5
0.0, 0.0, 1.0, 0.01, 0.2, 0.3, 0.5, 0.0, 0.85
0.0, 0.0, 1.0, 0.01, 0.2, 0.4, 0.5, 0.3, 0.8
0.0, 0.0, 1.0, 0.01, 0.2, 0.5, 0.5, 0.6, 0.75
0.0, 0.0, 1.0, 0.01, 0.001, 1.0, 0.5, 0.699, 0.5
0.0, 0.0, 1.0, 0.01, 0.2, 0.5, 0.5, 0.0, 0.25
0.0, 0.0, 1.0, 0.01, 0.2, 0.4, 0.5, 0.3, 0.2
0.0, 0.0, 1.0, 0.01, 0.2, 0.3, 0.5, 0.6, 0.15
0.0, 1.0, 1.0, 0.2, 0.2, 0.5, 0.605, 0.0, 0.25
1.0, 1.0, 0.0, 0.2, 0.2, 0.4, 0.605, 0.3, 0.2
1.0, 0.0, 1.0, 0.2, 0.2, 0.3, 0.605, 0.6, 0.15
